time,lightval
7:14:00,1023.00
7:14:00,1024.00
7:14:00,1023.00
7:14:00,1024.00
7:14:00,1023.00
7:14:00,1024.00
7:14:00,1022.00
7:14:00,1024.00
7:14:00,1022.00
7:14:00,1018.00
7:14:00,1024.00
7:14:00,1017.00
7:14:00,1016.00
7:14:00,1015.00
7:15:00,1014.00
7:15:00,1013.00
7:15:00,1014.00
7:15:00,1012.00
7:15:00,1011.00
7:15:00,1010.00
7:15:00,1008.00
7:15:00,1006.00
7:15:00,1008.00
7:15:00,1005.00
7:15:00,1008.00
7:15:00,1006.00
7:15:00,1008.00
7:15:00,1006.00
7:15:00,1005.00
7:15:00,1004.00
7:16:00,1003.00
7:16:00,1004.00
7:16:00,1002.00
7:16:00,1001.00
7:16:00,1000.00
7:16:00,999.00
7:16:00,998.00
7:16:00,997.00
7:16:00,998.00
7:16:00,997.00
7:16:00,996.00
7:16:00,994.00
7:16:00,996.00
7:16:00,994.00
7:16:00,993.00
7:16:00,994.00
7:16:00,992.00
7:16:00,994.00
7:17:00,996.00
7:17:00,994.00
7:17:00,993.00
7:17:00,991.00
7:17:00,990.00
7:17:00,989.00
7:17:00,988.00
7:17:00,987.00
7:17:00,988.00
7:17:00,987.00
7:17:00,986.00
7:17:00,987.00
7:17:00,986.00
7:17:00,985.00
7:17:00,984.00
7:17:00,1024.00
7:18:00,1010.00
7:18:00,1024.00
7:18:00,1020.00
7:18:00,1004.00
7:18:00,999.00
7:18:00,998.00
7:18:00,997.00
7:18:00,996.00
7:18:00,994.00
7:18:00,993.00
7:18:00,994.00
7:18:00,993.00
7:19:00,992.00
7:19:00,991.00
7:19:00,990.00
7:19:00,991.00
7:19:00,990.00
7:19:00,989.00
7:19:00,988.00
7:19:00,989.00
7:19:00,988.00
7:19:00,987.00
7:21:00,969.00
7:21:00,968.00
7:21:00,967.00
7:21:00,966.00
7:21:00,965.00
7:21:00,966.00
7:21:00,965.00
7:21:00,964.00
7:21:00,963.00
7:21:00,964.00
7:21:00,963.00
7:21:00,962.00
7:21:00,961.00
7:22:00,962.00
7:22:00,961.00
7:22:00,960.00
7:22:00,961.00
7:22:00,960.00
7:22:00,958.00
7:22:00,960.00
7:22:00,957.00
7:22:00,956.00
7:22:00,957.00
7:22:00,955.00
7:22:00,954.00
7:22:00,955.00
7:22:00,954.00
7:22:00,953.00
7:22:00,954.00
7:23:00,953.00
7:23:00,952.00
7:23:00,951.00
7:23:00,950.00
7:23:00,951.00
7:23:00,950.00
7:23:00,949.00
7:23:00,948.00
7:23:00,946.00
7:23:00,948.00
7:23:00,946.00
7:23:00,945.00
7:24:00,944.00
7:24:00,945.00
7:24:00,944.00
7:24:00,943.00
7:24:00,944.00
7:24:00,942.00
7:24:00,941.00
7:24:00,942.00
7:24:00,941.00
7:26:00,934.00
7:26:00,931.00
7:26:00,933.00
7:26:00,929.00
7:26:00,933.00
7:26:00,928.00
7:26:00,932.00
7:26:00,928.00
7:26:00,932.00
7:26:00,931.00
7:26:00,927.00
7:26:00,931.00
7:26:00,926.00
7:26:00,925.00
7:26:00,926.00
7:27:00,925.00
7:27:00,924.00
7:27:00,922.00
7:27:00,924.00
7:27:00,922.00
7:27:00,921.00
7:27:00,920.00
7:27:00,921.00
7:27:00,920.00
7:27:00,919.00
7:27:00,918.00
7:27:00,919.00
7:27:00,918.00
7:28:00,917.00
7:28:00,918.00
7:28:00,917.00
7:28:00,916.00
7:28:00,917.00
7:28:00,916.00
7:28:00,915.00
7:28:00,916.00
7:28:00,915.00
7:28:00,914.00
7:28:00,915.00
7:28:00,914.00
7:28:00,921.00
7:28:00,1024.00
7:28:00,1021.00
7:29:00,934.00
7:29:00,972.00
7:29:00,931.00
7:29:00,932.00
7:29:00,928.00
7:29:00,927.00
7:29:00,926.00
7:31:00,907.00
7:31:00,902.00
7:31:00,898.00
